,Average MI (bits),MI Ratio (%),Correlation (r),R-squared,Corr Ratio (%),MI p-value,Corr p-value
a_mean,1.1799278819780636,100.0,0.8217558605852792,0.6752826944062528,100.0,0.000999000999000999,1.443364196324724e-32
ndt1_mean,0.8416742932471056,71.33268957388307,0.6166022997792168,0.3801983960930191,75.03473103800611,0.000999000999000999,9.277689069591333e-15
v2_mean,0.7665075687064185,64.96223882949728,0.7053091794919885,0.497461038675662,85.82952836985503,0.000999000999000999,1.4888244602409645e-20
v1_mean,0.6367666385748147,53.966572728777415,0.6485810411077855,0.4206573668844589,78.92624466904886,0.000999000999000999,1.2569247485838455e-16
v3_mean,0.5875365652998638,49.794277622705316,0.6648332410391494,0.4420032383906198,80.90398534737984,0.000999000999000999,1.1529006668394113e-17
alpha_mean_boxcox_after_arcsin,0.5595327475883918,47.420927679950715,0.669023439160644,0.4475923621463359,81.41389325585648,0.000999000999000999,6.077410980274539e-18
ndt3_mean,0.4587203666566209,38.87698338712104,0.5398798980006947,0.2914703042652405,65.69833254565121,0.000999000999000999,4.822354968093698e-11
alpha_mean,0.457876268409317,38.80544526515642,0.6070437112816675,0.36850206740662045,73.8715402466753,0.000999000999000999,3.058231286029875e-14
ndt2_mean,0.43966198687293045,37.26176773921716,0.5299375652501872,0.2808338230632964,64.4884436689931,0.000999000999000999,1.2549121187078658e-10
v4_mean,0.3756380706635848,31.835680502257034,0.6351161601509241,0.40337253688485425,77.28769463214724,0.000999000999000999,8.174489338454067e-16
zr_mean,0.2872844299261116,24.347626182415492,0.4462648919838585,0.19915235381736487,54.30626216234287,0.000999000999000999,1.2948557375608108e-07
ndt4_mean,0.26326936318235733,22.31232664330343,0.5045666781054716,0.2545875326543906,61.401044069963085,0.000999000999000999,1.2575757349280446e-09
